Obs#,Time,Date,configName,configAuthor,remark,unique_id,...8,...9,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
1,14:14:14,2024-05-13,DURIN config,Nicole Bison,NA,24837,NA,NA,0.038214,2.916898,0.037720,0.491007,1.334998,1.321181,2.621029,1.286031,13.110565,13.247679,26.009438,0.441786,PSF-00189_20240513141414,0,0,0,89.564323,413.693909,0.783501,0.5,0.8,15.039818,51.32,50.79,21.67,21.80,100.77,156.1,149.9,4.0,48,3.614,14:13:21,2024-05-13,-0.74,-0.003,-0.003,-9999,0.231,0.082,-9999,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0,-9999,0,0,0,0,2.448065,2.513618,1.650784,0.915562,0.311539,0.002848,0.069449,0.147691,89.564323,0.000458,2.368202,-3.3e-5,1,2.426428,-4e-5,1,0.602049,0.601182,0.1074,0,PSF-00189_20240513141414,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35Z
2,14:16:29,2024-05-13,DURIN config,Nicole Bison,NA,26289,NA,NA,0.016233,2.917921,0.016143,0.230188,1.340175,1.333704,2.747788,1.407614,13.236539,13.300763,27.270832,0.441786,PSF-00189_20240513141629,0,0,0,84.652664,369.364868,0.770816,0.5,0.8,19.102489,50.15,49.91,22.11,22.57,100.76,156.2,153.4,1.8,62,3.612,14:13:21,2024-05-13,-0.74,-0.001,-0.004,-9999,-0.213,-0.29,-9999,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0,-9999,0,0,0,0,2.446770,2.511814,1.651857,0.924237,0.306077,0.006706,0.087068,0.159417,84.652664,0.000455,2.368202,-3.3e-5,1,2.426428,-4e-5,1,0.602049,0.601182,0.1074,0,PSF-00189_20240513141629,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35Z
3,14:18:27,2024-05-13,DURIN config,Nicole Bison,NA,24543,NA,NA,0.011516,2.917742,0.011470,0.166373,1.366486,1.361809,2.797935,1.431449,13.513960,13.560374,27.765415,0.441786,PSF-00189_20240513141827,0,0,0,96.45295,419.487122,0.770069,0.5,0.8,16.191807,49.91,49.74,22.51,22.87,100.77,156.2,155.4,0.5,53,3.576,14:13:21,2024-05-13,-0.74,-0.001,-0.003,-0.021,-0.072,0.026,-0.144,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0,-9999,0,0,0,0,2.446449,2.511367,1.651669,0.929544,0.301230,0.005545,0.101461,0.151534,96.452950,0.000441,2.368202,-3.3e-5,1,2.426428,-4e-5,1,0.602049,0.601182,0.1074,0,PSF-00189_20240513141827,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35Z
4,14:20:02,2024-05-13,DURIN config,Nicole Bison,NA,26642,NA,NA,0.011527,2.915873,0.011482,0.164935,1.395887,1.391245,2.813049,1.417163,13.807685,13.853752,27.918659,0.441786,PSF-00189_20240513142002,0,0,0,86.128593,412.16217,0.791032,0.5,0.8,17.898687,50.05,49.88,22.82,22.96,100.76,156.0,151.0,3.2,57,3.609,14:13:21,2024-05-13,-0.74,-0.002,-0.003,-0.025,0.139,0.135,0.048,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0,-9999,0,0,0,0,2.446566,2.511487,1.649712,0.918329,0.297558,0.003015,0.112709,0.154893,86.128593,0.000451,2.368202,-3.3e-5,1,2.426428,-4e-5,1,0.602049,0.601182,0.1074,0,PSF-00189_20240513142002,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35Z
5,14:22:01,2024-05-13,DURIN config,Nicole Bison,NA,27480,NA,NA,0.030254,2.916134,0.029943,0.412454,1.423031,1.411428,2.782096,1.359065,14.006709,14.121854,27.608919,0.441786,PSF-00189_20240513142201,0,0,0,85.225937,402.238007,0.788121,0.5,0.8,16.174557,49.93,49.52,23.18,22.78,100.77,156.0,151.2,3.1,51,3.605,14:13:21,2024-05-13,-0.74,-0.001,-0.003,-9999,0.053,0.127,-9999,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0,-9999,0,0,0,0,2.445991,2.511219,1.649985,0.918861,0.293314,-0.003289,0.126225,0.150477,85.225937,0.000455,2.368202,-3.3e-5,1,2.426428,-4e-5,1,0.602049,0.601182,0.1074,0,PSF-00189_20240513142201,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35Z
6,14:24:15,2024-05-13,DURIN config,Nicole Bison,NA,26824,NA,NA,0.019506,2.918190,0.019377,0.270048,1.488456,1.480876,2.862653,1.374197,14.694582,14.769800,28.405817,0.441786,PSF-00189_20240513142415,0,0,0,98.488213,391.042816,0.74814,0.5,0.8,13.376707,51.04,50.78,23.56,23.25,100.78,156.3,154.6,1.1,45,3.601,14:24:04,2024-05-13,-0.68,-0,0.001,-9999,0.026,0.049,-9999,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0,-9999,0,0,0,0,2.447603,2.512640,1.652140,0.927327,0.288896,-0.002243,0.140948,0.144929,98.488213,0.000440,2.368202,-3.3e-5,1,2.426428,-4e-5,1,0.602049,0.601182,0.1074,0,PSF-00189_20240513142415,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35Z
7,14:26:08,2024-05-13,DURIN config,Nicole Bison,NA,25724,NA,NA,0.041193,2.917557,0.040620,0.516481,1.527836,1.513335,2.781912,1.254076,15.015633,15.159507,27.602713,0.441786,PSF-00189_20240513142608,0,0,0,97.776886,398.457184,0.754611,0.5,0.8,15.478874,51.41,50.92,23.87,22.78,100.78,156.2,154.2,1.3,51,3.605,14:24:04,2024-05-13,-0.68,-0.001,-0.001,-9999,0.112,0.149,-9999,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0,-9999,0,0,0,0,2.447723,2.513098,1.651475,0.926412,0.285302,-0.011399,0.152969,0.150455,97.776886,0.000456,2.368202,-3.3e-5,1,2.426428,-4e-5,1,0.602049,0.601182,0.1074,0,PSF-00189_20240513142608,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35Z
8,14:27:57,2024-05-13,DURIN config,Nicole Bison,NA,23461,NA,NA,0.558101,2.917657,0.468487,4.855626,1.693031,1.556948,2.714758,1.021727,15.448445,16.798695,26.936531,0.441786,PSF-00189_20240513142757,0,0,0,85.914375,379.584442,0.773662,0.5,0.8,18.465427,56.19,51.67,24.10,22.37,100.78,156.2,156.0,0.1,60,3.603,14:24:04,2024-05-13,-0.68,0.001,0.003,0.013,0.087,0.242,0.385,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0,-9999,0,0,0,0,2.448680,2.519893,1.651579,0.931044,0.282705,-0.018729,0.164183,0.157497,85.914375,0.000462,2.368202,-3.3e-5,1,2.426428,-4e-5,1,0.602049,0.601182,0.1074,0,PSF-00189_20240513142757,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35Z
9,14:29:58,2024-05-13,DURIN config,Nicole Bison,NA,24159,NA,NA,0.397606,2.917433,0.349917,3.958200,1.709344,1.598417,2.823682,1.114338,15.860855,16.961561,28.018970,0.441786,PSF-00189_20240513142958,0,0,0,96.269135,391.450867,0.754071,0.5,0.8,17.633593,56.00,52.37,24.32,23.02,100.78,156.2,156.0,0.1,58,3.569,14:24:04,2024-05-13,-0.68,-0.002,-0.001,-9999,0.059,0.03,-9999,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0,-9999,0,0,0,0,2.449562,2.519570,1.651345,0.930850,0.280283,-0.013764,0.176314,0.156483,96.269135,0.000453,2.368202,-3.3e-5,1,2.426428,-4e-5,1,0.602049,0.601182,0.1074,0,PSF-00189_20240513142958,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35Z
10,14:31:37,2024-05-13,DURIN config,Nicole Bison,NA,27375,NA,NA,0.370910,2.916006,0.329055,4.172160,1.714220,1.597171,2.962361,1.248141,15.848367,17.009817,29.394840,0.441786,PSF-00189_20240513143137,0,0,0,82.335594,377.45047,0.781864,0.5,0.8,20.226339,55.57,51.77,24.49,23.82,100.78,156.0,152.3,2.4,65,3.569,14:24:04,2024-05-13,-0.68,0.001,0.003,-9999,-0.025,0.064,-9999,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0,-9999,0,0,0,0,2.448717,2.518898,1.649851,0.921506,0.278288,-0.006617,0.185922,0.161699,82.335594,0.000441,2.368202,-3.3e-5,1,2.426428,-4e-5,1,0.602049,0.601182,0.1074,0,PSF-00189_20240513143137,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35Z
